dataset,K,slice,bm25_recall,embed_model,embed_recall,bm25_n,embed_n,bm25_wins
mind,5,all,0.391401,minilm,0.433708,431517,431517,0
mind,5,cold,0.395085,minilm,0.431905,72030,72030,0
mind,5,warm,0.390663,minilm,0.434069,359487,359487,0
mind,5,tail,0.28169,minilm,0.338028,71,71,0
mind,5,head,0.391419,minilm,0.433724,431446,431446,0
mind,10,all,0.556643,minilm,0.602892,431517,431517,0
mind,10,cold,0.565369,minilm,0.606201,72030,72030,0
mind,10,warm,0.554895,minilm,0.602229,359487,359487,0
mind,10,tail,0.450704,minilm,0.408451,71,71,1
mind,10,head,0.556661,minilm,0.602924,431446,431446,0
mind,50,all,0.913691,minilm,0.929447,431517,431517,0
mind,50,cold,0.918805,minilm,0.929256,72030,72030,0
mind,50,warm,0.912667,minilm,0.929485,359487,359487,0
mind,50,tail,0.816901,minilm,0.816901,71,71,0
mind,50,head,0.913707,minilm,0.929465,431446,431446,0
mind,100,all,0.983202,minilm,0.98705,431517,431517,0
mind,100,cold,0.983868,minilm,0.986235,72030,72030,0
mind,100,warm,0.983069,minilm,0.987213,359487,359487,0
mind,100,tail,0.957746,minilm,0.971831,71,71,0
mind,100,head,0.983206,minilm,0.987053,431446,431446,0
mind,200,all,0.99915,minilm,0.999388,431517,431517,0
mind,200,cold,0.999275,minilm,0.999394,72030,72030,0
mind,200,warm,0.999125,minilm,0.999387,359487,359487,0
mind,200,tail,0.985915,minilm,1.0,71,71,0
mind,200,head,0.999152,minilm,0.999388,431446,431446,0
ebnerd,5,all,0.574453,w2v,0.60267,1678989,1678989,0
ebnerd,5,cold,0.608092,w2v,0.522035,70219,70219,1
ebnerd,5,warm,0.572985,w2v,0.606189,1608770,1608770,0
ebnerd,5,tail,0.642857,w2v,0.528571,70,70,1
ebnerd,5,head,0.57445,w2v,0.602673,1678919,1678919,0
ebnerd,10,all,0.856737,w2v,0.863435,1678989,1678989,0
ebnerd,10,cold,0.862198,w2v,0.844341,70219,70219,1
ebnerd,10,warm,0.856499,w2v,0.864268,1608770,1608770,0
ebnerd,10,tail,0.928571,w2v,0.757143,70,70,1
ebnerd,10,head,0.856734,w2v,0.863439,1678919,1678919,0
ebnerd,50,all,0.999684,w2v,0.999735,1678989,1678989,0
ebnerd,50,cold,0.999581,w2v,0.999676,70219,70219,0
ebnerd,50,warm,0.999689,w2v,0.999738,1608770,1608770,0
ebnerd,50,tail,0.985714,w2v,0.985714,70,70,0
ebnerd,50,head,0.999685,w2v,0.999736,1678919,1678919,0
ebnerd,100,all,1.0,w2v,1.0,1678989,1678989,0
ebnerd,100,cold,1.0,w2v,1.0,70219,70219,0
ebnerd,100,warm,1.0,w2v,1.0,1608770,1608770,0
ebnerd,100,tail,1.0,w2v,1.0,70,70,0
ebnerd,100,head,1.0,w2v,1.0,1678919,1678919,0
ebnerd,200,all,1.0,w2v,1.0,1678989,1678989,0
ebnerd,200,cold,1.0,w2v,1.0,70219,70219,0
ebnerd,200,warm,1.0,w2v,1.0,1608770,1608770,0
ebnerd,200,tail,1.0,w2v,1.0,70,70,0
ebnerd,200,head,1.0,w2v,1.0,1678919,1678919,0
ebnerd,5,all,0.574453,bert,0.586569,1678989,1678989,0
ebnerd,5,cold,0.608092,bert,0.522035,70219,70219,1
ebnerd,5,warm,0.572985,bert,0.589386,1608770,1608770,0
ebnerd,5,tail,0.642857,bert,0.557143,70,70,1
ebnerd,5,head,0.57445,bert,0.58657,1678919,1678919,0
ebnerd,10,all,0.856737,bert,0.855093,1678989,1678989,1
ebnerd,10,cold,0.862198,bert,0.844384,70219,70219,1
ebnerd,10,warm,0.856499,bert,0.85556,1608770,1608770,1
ebnerd,10,tail,0.928571,bert,0.757143,70,70,1
ebnerd,10,head,0.856734,bert,0.855097,1678919,1678919,1
ebnerd,50,all,0.999684,bert,0.999579,1678989,1678989,1
ebnerd,50,cold,0.999581,bert,0.999733,70219,70219,0
ebnerd,50,warm,0.999689,bert,0.999573,1608770,1608770,1
ebnerd,50,tail,0.985714,bert,1.0,70,70,0
ebnerd,50,head,0.999685,bert,0.999579,1678919,1678919,1
ebnerd,100,all,1.0,bert,1.0,1678989,1678989,0
ebnerd,100,cold,1.0,bert,1.0,70219,70219,0
ebnerd,100,warm,1.0,bert,1.0,1608770,1608770,0
ebnerd,100,tail,1.0,bert,1.0,70,70,0
ebnerd,100,head,1.0,bert,1.0,1678919,1678919,0
ebnerd,200,all,1.0,bert,1.0,1678989,1678989,0
ebnerd,200,cold,1.0,bert,1.0,70219,70219,0
ebnerd,200,warm,1.0,bert,1.0,1608770,1608770,0
ebnerd,200,tail,1.0,bert,1.0,70,70,0
ebnerd,200,head,1.0,bert,1.0,1678919,1678919,0
